title|link|summary|parss_primesponsor|parss_cosponsors|parss_lastaction|parss_enacted|parss_passedhouse|parss_passedsenate|published|id
House Bill 835 Printer's Number 808|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=835&pn=808|An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in protection from abuse, further providing for definitions.|Representative HOWARD|KINSEY, MADDEN, HILL-EVANS, SCHLOSSBERG, SANCHEZ, ROZZI, DELLOSO and SHUSTERMAN|Referred to JUDICIARY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:55:41 GMT|20230HB835P808
House Bill 834 Printer's Number 807|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=834&pn=807|An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in employee rights, providing for conditions of collective bargaining agreement; and, in scope of bargaining, further providing for maintenance of membership....|Representative KEEFER|HAMM, MOUL, KAUFFMAN, MENTZER, M. JONES, ROWE, ZIMMERMAN, LEADBETER and T. JONES|Referred to LABOR AND INDUSTRY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:55:11 GMT|20230HB834P807
House Bill 833 Printer's Number 806|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=833&pn=806|An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, in Uniform Construction Code, further providing for adoption by regulations....|Representative HOWARD|HANBIDGE, HILL-EVANS, SANCHEZ and ROZZI|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:54:45 GMT|20230HB833P806
House Bill 832 Printer's Number 805|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=832&pn=805|An Act establishing the Pollinator Task Force and providing for its powers and duties; and imposing duties on the Department of Agriculture....|Representative RABB|SANCHEZ, HILL-EVANS, SAPPEY, ISAACSON, MADDEN, GUENST, ZIMMERMAN, KINKEAD, SAMUELSON, CIRESI and HOWARD|Referred to AGRICULTURE AND RURAL AFFAIRS,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:54:14 GMT|20230HB832P805
House Bill 831 Printer's Number 804|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=831&pn=804|An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in bonds and recognizances, providing for bail in illegal firearm offenses in city of the first class....|Representative DAWKINS|MADDEN, SHUSTERMAN, SANCHEZ, SAPPEY and PARKER|Referred to JUDICIARY,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:53:43 GMT|20230HB831P804
House Bill 830 Printer's Number 803|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=830&pn=803|An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in election districts and polling places, further providing for polling places to be selected by county board; and, in qualifications of electors, further providing for residence of electors....|Representative DAWKINS|HOHENSTEIN, WAXMAN, RABB, KINSEY, MADDEN, HILL-EVANS, KHAN, SANCHEZ, KRAJEWSKI and PARKER|Referred to STATE GOVERNMENT,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:53:20 GMT|20230HB830P803
House Bill 829 Printer's Number 802|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=829&pn=802|An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for interlocking business prohibited and for unlawful acts relative to liquor, malt and brewed beverages and licensees....|Representative GERGELY|SANCHEZ, MADDEN, DEASY, HILL-EVANS and KUZMA|Referred to LIQUOR CONTROL,  April 4, 2023|NO|NO|NO|Tue, 04 Apr 2023 12:52:58 GMT|20230HB829P802
House Bill 600 Printer's Number 801|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=600&pn=801|An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in marriage ceremony, further providing for persons qualified to solemnize marriages....|Representative McNEILL|SANCHEZ, KINSEY, HOHENSTEIN, SIEGEL, MADDEN, CIRESI, HILL-EVANS, KHAN, CONKLIN, ISAACSON, OTTEN, GUENST, KULIK, SCHWEYER and SHUSTERMAN|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:09:48 GMT|20230HB600P801
House Bill 599 Printer's Number 800|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=599&pn=800|An Act amending Title 51 (Military Affairs) of the Pennsylvania Consolidated Statutes, in educational gratuity program, further providing for eligibility and qualification requirements....|Representative McNEILL|CIRESI, HILL-EVANS, DELLOSO, MADDEN, PROBST, HADDOCK, KINSEY, SCHLOSSBERG, SANCHEZ, FLEMING and FREEMAN|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:08:49 GMT|20230HB599P800
House Bill 598 Printer's Number 799|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=598&pn=799|An Act amending the act of June 27, 2006 (1st Sp.Sess., P.L.1873, No.1), known as the Taxpayer Relief Act, in taxation by school districts, further providing for public referendum requirements for increasing certain taxes....|Representative McNEILL|SANCHEZ, MADDEN, BURGOS, DELLOSO, ROWE, JOZWIAK, KINSEY, CEPEDA-FREYTIZ and RADER|Referred to FINANCE,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:08:27 GMT|20230HB598P799
House Bill 597 Printer's Number 798|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=597&pn=798|An Act amending the act of July 28, 1988 (P.L.556, No.101), known as the Municipal Waste Planning, Recycling and Waste Reduction Act, in powers and duties, further providing for powers and duties of counties....|Representative KIM|MADDEN, SIEGEL, KINSEY, SANCHEZ, HILL-EVANS, SAPPEY, D. WILLIAMS, FREEMAN and GALLOWAY|Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:08:03 GMT|20230HB597P798
House Bill 596 Printer's Number 797|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=596&pn=797|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in firearms and other dangerous articles, further providing for persons not to possess, use, manufacture, control, sell or transfer firearms and for sale or transfer of firearms and providing for Gun Violence Task Force in cities of the first class....|Representative C. WILLIAMS|WHITE, STAATS, MOUL, PICKETT, ARMANINI, TOMLINSON, ECKER, KEEFER, MARCELL, MIHALEK, SCHEMEL, JAMES and GILLEN|Referred to JUDICIARY,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:07:38 GMT|20230HB596P797
House Bill 595 Printer's Number 796|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=595&pn=796|An Act amending Title 65 (Public Officers) of the Pennsylvania Consolidated Statutes, providing for legislators.|Representative SHUSTERMAN|CIRESI, HOHENSTEIN, HILL-EVANS, HANBIDGE, GUENST, MADDEN, FLEMING, KINKEAD, CEPEDA-FREYTIZ, FLICK, BOROWSKI and KAZEEM|Referred to STATE GOVERNMENT,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:07:10 GMT|20230HB595P796
House Bill 594 Printer's Number 795|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=594&pn=795|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in miscellaneous provisions relating to operation of vehicles, further providing for the offense of depositing waste and other material on highway, property or waters....|Representative SHUSTERMAN|HOHENSTEIN, SANCHEZ, KENYATTA, MADDEN, PARKER, CIRESI, KIM, CEPEDA-FREYTIZ, KINSEY, GALLAGHER, CEPHAS, M. BROWN, BRENNAN, PASHINSKI, ARMANINI and TAKAC|Referred to TRANSPORTATION,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:06:43 GMT|20230HB594P795
House Bill 593 Printer's Number 794|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=593&pn=794|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for Child and Adult Care Food Program Supplement; and making an appropriation....|Representative SHUSTERMAN|HILL-EVANS, MADDEN, SIEGEL, KINKEAD, HOWARD, GUENST, SANCHEZ, PARKER, D. WILLIAMS, OTTEN, HOHENSTEIN, KAZEEM and TAKAC|Referred to EDUCATION,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:06:17 GMT|20230HB593P794
House Bill 592 Printer's Number 793|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=592&pn=793|An Act providing for food desert opportunity zones and for food desert opportunity zone tax credits; and imposing powers and duties on the Department of Community and Economic Development and the Department of Revenue....|Representative SHUSTERMAN|KINSEY, CIRESI, SANCHEZ, MADDEN, HILL-EVANS, HOHENSTEIN, ROZZI, D. WILLIAMS, KINKEAD, PASHINSKI, STURLA, HOWARD, CONKLIN, KAZEEM, BOROWSKI and TAKAC|Referred to FINANCE,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:05:39 GMT|20230HB592P793
House Bill 591 Printer's Number 792|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=591&pn=792|An Act amending the act of May 3, 1933 (P.L.242, No.86), referred to as the Cosmetology Law, further providing for definitions, for practice without license prohibited, for eligibility requirements for examination, for limited licenses, for requirements of a school of cosmetology, for practice in licensed salons only, for booth rental prohibited, for fees, for duration and renewal of licenses and for penalties....|Representative KEEFER|JAMES, KAUFFMAN, STAATS, HAMM, R. MACKENZIE, ZIMMERMAN, ROWE and LEADBETER|Referred to PROFESSIONAL LICENSURE,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:05:03 GMT|20230HB591P792
House Bill 590 Printer's Number 791|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=590&pn=791|An Act amending the act of May 22, 1951 (P.L.317, No.69), known as The Professional Nursing Law, further providing for examinations and certificates; and abrogating regulations....|Representative KEEFER|ROAE, JAMES, ROSSI, STAMBAUGH, GUENST, KAUFFMAN, STAATS, HAMM, M. MACKENZIE, TWARDZIK, CIRESI, LEADBETER, FINK, PICKETT, GROVE, B. MILLER, GLEIM, ROWE, GILLEN, D. WILLIAMS and OTTEN|Referred to PROFESSIONAL LICENSURE,  March 21, 2023|NO|NO|NO|Tue, 04 Apr 2023 11:04:22 GMT|20230HB590P791
House Resolution 64 Printer's Number 790|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=64&pn=790|"A Resolution recognizing the week of April 16 through 22, 2023, as ""National Volunteer Week"" in Pennsylvania."|Representative TWARDZIK|OBERLANDER, KINSEY, PICKETT, STAATS, BARTON, WATRO, CONKLIN, STEHR, ROWE and GILLEN|Referred to STATE GOVERNMENT,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 14:55:22 GMT|20230HR64P790
House Bill 827 Printer's Number 789|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=827&pn=789|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, providing for Delayed Payment Plan Program; establishing the Delayed Payment Plan Program Fund; and imposing duties on the Pennsylvania Higher Education Assistance Agency....|Representative PASHINSKI||Referred to EDUCATION,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 14:55:07 GMT|20230HB827P789
House Resolution 63 Printer's Number 788|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=63&pn=788|A Resolution urging the Congress of the United States to amend the Military Selective Service Act to require both men and women to register for the draft....|Representative GIRAL|MADDEN, SANCHEZ, D. WILLIAMS and BURGOS|Referred to VETERANS AFFAIRS AND EMERGENCY PREPAREDNESS,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:53:29 GMT|20230HR63P788
House Resolution 62 Printer's Number 787|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=62&pn=787|A Resolution urging the Congress of the United States to pass legislation to exempt Puerto Rico and other noncontiguous states and territories from the Jones Act....|Representative GIRAL|MADDEN, SANCHEZ, FREEMAN, GUENST, HANBIDGE, BURGOS and HILL-EVANS|Referred to COMMERCE,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:53:16 GMT|20230HR62P787
House Resolution 60 Printer's Number 785|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=60&pn=785|"A Resolution designating the week of June 5 through 9, 2023, as ""Union Organizing Week"" in Pennsylvania, in honor of those workers who have fought for their right to organize and bargain collectively at their workplace...."|Representative D. MILLER|MADSEN, GIRAL, ISAACSON, McNEILL, MADDEN, FREEMAN, RABB, HILL-EVANS, KINSEY, D. WILLIAMS, PROBST, SCHLOSSBERG, SANCHEZ, KHAN, PARKER, CIRESI, DEASY, DELLOSO, KINKEAD, NEILSON, INNAMORATO and CONKLIN|Referred to LABOR AND INDUSTRY,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:53:00 GMT|20230HR60P785
House Resolution 61 Printer's Number 786|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=61&pn=786|"A Resolution designating May 3, 2023, as ""Pennsylvania Housing Finance Agency Day"" in Pennsylvania."|Representative STURLA|IRVIN, FLICK, MALAGARI, CEPEDA-FREYTIZ, McANDREW, HILL-EVANS, KHAN, BULLOCK, FREEMAN, HADDOCK, NEILSON, TAKAC, SANCHEZ, TWARDZIK, SMITH-WADE-EL, CONKLIN, MEHAFFIE, GILLEN and MAJOR|Referred to HOUSING AND COMMUNITY DEVELOPMENT,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:52:42 GMT|20230HR61P786
House Resolution 59 Printer's Number 784|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=59&pn=784|"A Resolution designating the month of March 2023 as ""Muslim Heritage and Appreciation Month"" in Pennsylvania."|Representative KHAN|DAWKINS, MADDEN, PROBST, GUENST, KENYATTA, SANCHEZ, McNEILL, RABB, N. NELSON, HANBIDGE, HILL-EVANS, FRANKEL, VENKAT, HOHENSTEIN, OTTEN and CONKLIN|Referred to STATE GOVERNMENT,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:52:11 GMT|20230HR59P784
House Bill 826 Printer's Number 783|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=826&pn=783|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in registration of vehicles, providing for special plates for recipients of Borinqueneers Congressional Gold Medal....|Representative GIRAL|SANCHEZ, SAMUELSON, HILL-EVANS, SCHLOSSBERG, MADDEN, BURGOS, FLICK, NEILSON, N. NELSON and GILLEN|Referred to TRANSPORTATION,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:51:54 GMT|20230HB826P783
House Bill 825 Printer's Number 782|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=825&pn=782|An Act providing for lead screening and related services, for health insurance coverage for lead screening and related diagnostic services and supplies and for duties of the Department of Health....|Representative GIRAL|BURGOS, MADDEN, SCHLOSSBERG, PROBST, SANCHEZ, PIELLI, CIRESI, CEPEDA-FREYTIZ, N. NELSON, OTTEN and CERRATO|Referred to INSURANCE,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:51:34 GMT|20230HB825P782
House Bill 824 Printer's Number 781|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=824&pn=781|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in other required equipment, further providing for general requirements for school buses....|Representative GIRAL|SANCHEZ, RABB, PROBST, CONKLIN, WAXMAN, ROZZI, BURNS and CEPEDA-FREYTIZ|Referred to TRANSPORTATION,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:51:19 GMT|20230HB824P781
House Bill 823 Printer's Number 780|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=823&pn=780|An Act amending the act of March 10, 1949 (P.L.30, No.14), known as the Public School Code of 1949, in terms and courses of study, further providing for dates and times of school terms and sessions and commencement....|Representative GIRAL|PROBST, PIELLI, SANCHEZ, HILL-EVANS, BURGOS, GALLAGHER and KAZEEM|Referred to EDUCATION,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:51:00 GMT|20230HB823P780
House Bill 822 Printer's Number 779|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=822&pn=779|An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in miscellaneous provisions relating to accidents and accident reports, further providing for immediate notice of accident to police department....|Representative GIRAL|PROBST, SANCHEZ and PARKER|Referred to TRANSPORTATION,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:50:44 GMT|20230HB822P779
House Bill 821 Printer's Number 778|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=821&pn=778|An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in firearms and other dangerous articles, further providing for sale or transfer of firearms and establishing the Pennsylvania Gun Buyback Program and the Pennsylvania Gun Buyback Program Fund....|Representative GIRAL|SCHLOSSBERG, GUENST, KINKEAD, FIEDLER, SANCHEZ, HILL-EVANS, MADDEN, BURGOS, FRANKEL, KINSEY, FLEMING, OTTEN, HOHENSTEIN and CERRATO|Referred to JUDICIARY,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:50:29 GMT|20230HB821P778
House Bill 820 Printer's Number 777|https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=820&pn=777|An Act requiring child-care centers to install video camera surveillance systems; and conferring powers and duties on the Department of Human Services....|Representative GIRAL|MADDEN, PROBST, SANCHEZ, HILL-EVANS, NEILSON, CEPEDA-FREYTIZ and FLICK|Referred to HUMAN SERVICES,  April 3, 2023|NO|NO|NO|Mon, 03 Apr 2023 11:50:14 GMT|20230HB820P777
